,Season,Season Encoding,Date,YearOfSeason,YearOfSeason Encoding,HomeTeam,HomeTeam Encoding,AwayTeam,AwayTeam Encoding,FTHG,FTAG,FTR,FTR Encoding,HTHG,HTAG,HTR,Referee,Referee Encoding,Fouls Called Per Game,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
76,Fall,0,08/11/2020,2020/21,1,Man City,14,Liverpool,13,1.0,1.0,D,2,1.0,1.0,D,C Pawson,25,15.0,7.0,10.0,2.0,3.0,19.0,11.0,1.0,2.0,3.0,1.0,0.0,0.0
77,Fall,0,08/11/2020,2020/21,1,Arsenal,0,Aston Villa,-1,0.0,3.0,A,1,0.0,1.0,A,M Atkinson,16,13.0,13.0,15.0,2.0,6.0,11.0,13.0,3.0,8.0,0.0,0.0,0.0,0.0
78,Fall,0,21/11/2020,2020/21,1,Newcastle,17,Chelsea,5,0.0,2.0,A,1,0.0,1.0,A,C Pawson,25,15.0,8.0,14.0,1.0,3.0,11.0,12.0,7.0,4.0,2.0,0.0,0.0,0.0
79,Fall,0,21/11/2020,2020/21,1,Aston Villa,-1,Brighton,3,1.0,2.0,A,1,0.0,1.0,A,M Oliver,28,14.0,15.0,7.0,4.0,3.0,5.0,18.0,12.0,3.0,2.0,1.0,0.0,1.0
80,Fall,0,21/11/2020,2020/21,1,Tottenham,25,Man City,14,2.0,0.0,H,0,1.0,0.0,H,M Dean,23,14.0,4.0,22.0,2.0,5.0,13.0,19.0,0.0,10.0,2.0,2.0,0.0,0.0
81,Fall,0,21/11/2020,2020/21,1,Man United,15,West Brom,27,1.0,0.0,H,0,0.0,0.0,D,D Coote,9,14.0,17.0,7.0,7.0,2.0,12.0,17.0,8.0,2.0,1.0,1.0,0.0,0.0
82,Fall,0,22/11/2020,2020/21,1,Fulham,8,Everton,7,2.0,3.0,A,1,1.0,3.0,A,A Madley,20,15.0,14.0,9.0,6.0,7.0,14.0,10.0,2.0,5.0,2.0,0.0,0.0,0.0
83,Fall,0,22/11/2020,2020/21,1,Sheffield United,20,West Ham,28,0.0,1.0,A,1,0.0,0.0,D,M Atkinson,16,13.0,9.0,15.0,5.0,3.0,7.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0
84,Fall,0,22/11/2020,2020/21,1,Leeds,11,Arsenal,0,0.0,0.0,D,2,0.0,0.0,D,A Taylor,10,15.0,25.0,9.0,4.0,2.0,9.0,8.0,5.0,3.0,3.0,0.0,0.0,1.0
85,Fall,0,22/11/2020,2020/21,1,Liverpool,13,Leicester,12,3.0,0.0,H,0,2.0,0.0,H,C Kavanagh,7,14.0,24.0,11.0,13.0,4.0,15.0,6.0,10.0,3.0,0.0,2.0,0.0,0.0
86,Fall,0,23/11/2020,2020/21,1,Burnley,-1,Crystal Palace,6,1.0,0.0,H,0,1.0,0.0,H,K Friend,19,14.0,10.0,15.0,4.0,5.0,13.0,9.0,4.0,7.0,2.0,0.0,0.0,0.0
87,Fall,0,23/11/2020,2020/21,1,Wolves,29,Southampton,21,1.0,1.0,D,2,0.0,0.0,D,A Marriner,14,13.0,20.0,7.0,9.0,2.0,14.0,13.0,7.0,4.0,2.0,0.0,0.0,0.0
88,Fall,0,27/11/2020,2020/21,1,Crystal Palace,6,Newcastle,17,0.0,2.0,A,1,0.0,0.0,D,G Scott,21,13.0,12.0,14.0,3.0,7.0,9.0,10.0,7.0,3.0,2.0,2.0,0.0,0.0
89,Fall,0,28/11/2020,2020/21,1,Brighton,3,Liverpool,13,1.0,1.0,D,2,0.0,0.0,D,S Attwell,11,14.0,11.0,6.0,3.0,2.0,9.0,13.0,4.0,3.0,2.0,1.0,0.0,0.0
90,Fall,0,28/11/2020,2020/21,1,Man City,14,Burnley,-1,5.0,0.0,H,0,3.0,0.0,H,L Mason,4,14.0,19.0,9.0,6.0,1.0,12.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0
91,Fall,0,28/11/2020,2020/21,1,Everton,7,Leeds,11,0.0,1.0,A,1,0.0,0.0,D,C Kavanagh,7,14.0,15.0,23.0,8.0,7.0,8.0,14.0,4.0,2.0,1.0,2.0,0.0,0.0
92,Fall,0,28/11/2020,2020/21,1,West Brom,27,Sheffield United,20,1.0,0.0,H,0,1.0,0.0,H,M Dean,23,14.0,17.0,21.0,6.0,5.0,10.0,9.0,14.0,9.0,2.0,3.0,0.0,0.0
93,Fall,0,29/11/2020,2020/21,1,Southampton,21,Man United,15,2.0,3.0,A,1,2.0,0.0,H,J Moss,27,14.0,10.0,15.0,5.0,6.0,12.0,12.0,5.0,9.0,1.0,0.0,0.0,0.0
